 snap  color marker origin halo_id     tsi  sparsity m12    fsubms ksi    d_off  kuiper_V mean_beta
  169.0 blue  square relax  4.9923687E7 10.0 1.4311   0.3577 0.6738 0.519  0.053  -0.0118  0.8353   
  169.0 blue  square relax  4.9938855E7 10.0 1.8148   0.4267 0.8121 0.7112 0.0982 0.0394   0.8581   
  169.0 blue  square relax  4.9950825E7 10.0 1.6093   0.5391 0.7846 0.7403 0.1157 -0.0722  0.8592   
  169.0 blue  square relax  4.9966067E7 10.0 1.3835   0.4902 0.8078 0.7729 0.1147 0.1014   0.8858   
  169.0 blue  square relax  4.9995598E7 10.0 1.6548   0.4887 0.7779 0.7046 0.1204 0.0196   0.8636   
  169.0 blue  square relax  4.9638591E7 10.0 1.1793   0.5001 0.7181 0.5064 0.0747 -0.0367  0.8681   
  169.0 blue  square relax  4.9684294E7 10.0 1.6691   0.4103 0.7089 0.8216 0.1103 -0.001   0.8      
  169.0 blue  square relax  4.9699321E7 10.0 1.5482   0.4426 0.7521 0.7011 0.1107 0.0821   0.8804   
  169.0 blue  square relax  4.9714804E7 10.0 1.2937   0.413  0.7517 0.5215 0.0865 0.0186   0.866    
  169.0 blue  square relax  4.9746363E7 10.0 1.4012   0.3936 0.6685 0.585  0.0887 -0.0791  0.7529   
  169.0 blue  square relax  4.9762883E7 10.0 1.6609   0.4523 0.7954 0.8469 0.0972 0.0034   0.8025   
  169.0 blue  square relax  4.9763589E7 10.0 1.3909   0.5038 0.7937 0.9279 0.1267 0.1023   0.8779   
  169.0 blue  square relax  4.9777054E7 10.0 1.8218   0.3638 0.7994 0.8385 0.1017 0.0582   0.8384   
  169.0 blue  square relax  4.9789865E7 10.0 1.7403   0.3951 0.751  0.7989 0.1181 -0.0244  0.7915   
  169.0 blue  square relax  4.9848425E7 10.0 1.6032   0.3222 0.7322 0.6736 0.1056 0.0179   0.8757   
  169.0 blue  square relax  4.9924437E7 10.0 1.95     0.5136 0.8863 0.7861 0.0848 -0.0115  0.7529   
  169.0 blue  square relax  4.992526E7  10.0 1.5841   0.5066 0.7672 0.6644 0.116  -0.0627  0.8599   
  169.0 blue  square relax  4.9666827E7 10.0 1.5046   0.5273 0.8686 0.6765 0.0685 0.0071   0.8568   
  169.0 blue  square relax  4.9695516E7 10.0 1.4333   0.3513 0.7336 0.6525 0.0861 0.0401   0.7796   
  169.0 blue  square relax  4.9711555E7 10.0 1.989    0.5155 0.8397 0.8506 0.0979 0.0423   0.837    
  169.0 blue  square relax  4.975608E7  10.0 1.5161   0.4678 0.8056 0.621  0.0899 0.0028   0.7579   
  169.0 blue  square relax  4.9772189E7 10.0 1.5446   0.4145 0.8083 0.6631 0.1082 0.0155   0.841    
  169.0 blue  square relax  4.9815968E7 10.0 1.7601   0.4385 0.7694 0.5787 0.1076 -0.0459  0.802    
  169.0 blue  square relax  4.981634E7  10.0 2.3033   0.4963 0.9024 0.732  0.1123 0.0193   0.805    
  169.0 blue  square relax  4.9816634E7 10.0 1.4414   0.5463 0.7966 0.6348 0.0663 -0.0266  1.3237   
  169.0 blue  square relax  4.9874138E7 10.0 1.8173   0.5729 0.8211 0.7255 0.1186 -0.0501  0.8534   
  169.0 blue  square relax  4.9890696E7 10.0 1.3062   0.3896 0.6646 0.5284 0.0871 0.0322   0.8115   
  169.0 blue  square relax  4.9906053E7 10.0 1.8805   0.4934 0.8602 0.9513 0.0772 -0.0058  0.7606   
  169.0 blue  square relax  4.9950126E7 10.0 1.5106   0.3872 0.6511 0.8613 0.1063 0.0441   0.8187   
  169.0 blue  square relax  4.9858503E7 10.0 2.0395   0.574  0.9217 0.8514 0.1571 0.0668   0.7748   
  169.0 blue  square relax  4.9859126E7 10.0 1.7141   0.5187 0.7992 0.8416 0.1062 0.0285   0.8193   
  169.0 blue  square relax  4.9902794E7 10.0 1.3249   0.3527 0.6106 0.5836 0.1486 0.0567   0.8422   
  169.0 blue  square relax  4.993515E7  10.0 1.9277   0.5094 0.8572 0.9724 0.0933 0.0309   0.8185   
  169.0 blue  square relax  5.0039821E7 10.0 1.8483   0.4713 0.7557 0.6986 0.1622 0.0467   0.8807   
  169.0 blue  square relax  5.0084125E7 10.0 1.5614   0.5133 0.7514 0.7625 0.1091 0.0502   0.7596   
  169.0 blue  square relax  5.0084307E7 10.0 1.6459   0.4771 0.7943 0.6549 0.1303 -0.0086  0.7994   
  169.0 blue  square relax  5.0098669E7 10.0 1.5747   0.5001 0.8284 0.7557 0.0753 0.0187   0.8091   
  169.0 blue  square relax  5.0127705E7 10.0 1.6972   0.5215 0.8513 0.7827 0.0722 -0.0423  0.7654   
  169.0 blue  square relax  4.9850864E7 10.0 1.427    0.4427 0.7648 0.5443 0.0802 -0.0241  0.828    
  169.0 blue  square relax  4.9911439E7 10.0 1.6078   0.3681 0.7298 0.6061 0.082  0.0493   0.8488   
  169.0 blue  square relax  4.9970764E7 10.0 1.5126   0.4265 0.7343 0.7126 0.1118 -0.007   0.8208   
  169.0 blue  square relax  5.0002075E7 10.0 1.6727   0.5396 0.8047 0.6711 0.0868 -0.0468  0.8233   
  169.0 blue  square relax  5.0002653E7 10.0 1.329    0.475  0.8055 0.615  0.076  0.0341   0.7721   
  169.0 blue  square relax  5.0016057E7 10.0 1.5175   0.5604 0.7762 0.6477 0.0885 2.0E-4   0.9221   
  169.0 blue  square relax  5.0016455E7 10.0 1.3455   0.3888 0.6799 0.8281 0.1382 -7.0E-4  0.8312   
  169.0 blue  square relax  5.0031233E7 10.0 2.0347   0.5148 0.8182 0.7774 0.0844 0.001    0.7754   
  169.0 blue  square relax  5.0046354E7 10.0 1.5747   0.5252 0.7717 0.4947 0.0788 0.0183   0.8927   
  169.0 blue  square relax  5.0093695E7 10.0 1.6666   0.5268 0.9223 0.6442 0.0784 -0.0126  0.7216   
  169.0 blue  square relax  5.0113088E7 10.0 1.3784   0.1957 0.5364 0.6482 0.1174 0.0251   0.7322   
  169.0 blue  square relax  5.0113397E7 10.0 1.79     0.4879 0.7775 0.8545 0.0865 -0.0282  0.8759   
  169.0 blue  square relax  5.0158585E7 10.0 1.4314   0.4109 0.7737 0.6427 0.0988 0.0302   0.8737   
  169.0 blue  square relax  5.0172858E7 10.0 1.728    0.4402 0.7982 0.7813 0.0959 -0.0606  0.7414   
  169.0 blue  square relax  5.0173325E7 10.0 1.4748   0.4431 0.6987 0.7538 0.1054 0.0049   0.8618   
  169.0 blue  square relax  5.0216892E7 10.0 1.4407   0.5437 0.885  0.6419 0.0804 7.0E-4   0.75     
  169.0 blue  square relax  5.0248837E7 10.0 1.4843   0.41   0.801  0.737  0.0689 -0.0523  0.8781   
  169.0 blue  square relax  5.0355941E7 10.0 1.6714   0.5709 0.8405 0.6579 0.0756 -0.0441  0.8479   
  169.0 blue  square relax  5.0356101E7 10.0 1.79     0.5173 0.7804 0.6903 0.0615 0.0635   0.9084   
  169.0 blue  square relax  5.0356722E7 10.0 1.6508   0.3067 0.7166 0.7808 0.091  -0.0391  0.8365   
  169.0 blue  square relax  5.0371052E7 10.0 1.528    0.4505 0.7401 0.6807 0.0881 -0.0861  0.8825   
  133.0 red   circle merger 4.9920609E7 0.0  1.3461   0.5376 0.7794 0.6983 0.1187 0.0962   0.8493   
  143.0 red   circle merger 4.9920609E7 1.0  2.3395   0.5323 0.8102 0.8327 0.1247 0.1438   0.7646   
  153.0 red   circle merger 4.9920609E7 2.0  1.4804   0.8581 0.9147 0.732  0.2307 0.2052   0.8079   
  163.0 red   circle merger 4.9920609E7 3.0  1.5495   0.9921 0.9309 0.9294 0.0895 0.0415   0.8417   
  164.0 red   circle merger 4.9920182E7 0.0  1.3442   0.5326 0.8798 0.9081 0.1133 -0.0165  0.8334   
  122.0 red   circle merger 4.9921945E7 0.0  1.2067   0.4533 0.6415 0.6379 0.1121 -0.0954  0.7793   
  132.0 red   circle merger 4.9921945E7 1.0  1.8826   0.5121 0.7538 0.9428 0.1191 0.081    0.8132   
  142.0 red   circle merger 4.9921945E7 2.0  2.5141   0.4955 0.7649 0.761  0.1822 0.1025   0.7074   
  152.0 red   circle merger 4.9921945E7 3.0  2.9164   0.8577 0.9025 1.0105 0.2784 0.2602   0.8012   
  162.0 red   circle merger 4.9921945E7 4.0  1.1832   0.7138 0.8902 0.8345 0.1607 0.1754   0.8507   
  160.0 red   circle merger 4.9964498E7 0.0  1.5944   0.5591 0.9018 0.611  0.0598 -0.0204  0.7047   
  166.0 red   circle merger 5.0025081E7 0.0  1.4547   0.426  0.844  0.6081 0.0898 0.088    0.7616   
  136.0 red   circle merger 5.0041417E7 0.0  1.7959   0.6569 0.9107 0.7925 0.0822 0.0604   0.7599   
  146.0 red   circle merger 5.0041417E7 1.0  1.3229   0.646  0.9108 0.7444 0.04   0.037    0.7365   
  156.0 red   circle merger 5.0041417E7 2.0  2.2479   0.6352 0.9066 0.6301 0.0296 0.026    0.761    
  166.0 red   circle merger 5.0041417E7 3.0  1.721    0.4967 0.9078 0.6529 0.0562 -0.033   0.7422   
  158.0 red   circle merger 5.0054801E7 0.0  1.9461   0.3157 0.7312 0.8428 0.0821 -0.0017  0.8574   
  168.0 red   circle merger 5.0054801E7 1.0  1.6821   0.7502 0.8114 0.659  0.1763 0.1368   0.9096   
  132.0 red   circle merger 5.0057212E7 0.0  2.6678   0.8132 0.8936 0.8816 0.1347 -0.1018  0.7131   
  142.0 red   circle merger 5.0057212E7 1.0  2.0454   0.7813 0.9217 0.8812 0.1382 0.0834   0.7256   
  152.0 red   circle merger 5.0057212E7 2.0  1.6273   0.6995 0.9335 0.7654 0.1516 0.0961   0.7358   
  162.0 red   circle merger 5.0057212E7 3.0  1.7961   0.681  0.9409 0.783  0.077  -0.0329  0.7707   
  166.0 red   circle merger 5.0069856E7 0.0  1.4595   0.7626 0.8682 0.8296 0.127  -0.1743  0.844    
